1809,1590
1841,1560
1659,1620
1779,1540
1616,1420
1695,1660
1730,1610
1753,1635
1740,1580
1685,1610
1735,1590
1713,1610
1736,1700
1715,1522
1799,1680
1785,1680
1758,1630
1729,1570
1720,1720
1810,1740
1725,1600
1764,1689
1683,1600
1585,1550
1684,1540
1674,1640
1724,1640
1630,1630
1855,1560
1796,1652
1700,1580
1765,1570
1700,1590
1721,1650
1823,1591
1829,1670
1710,1600
1745,1610
1698,1610
1853,1670
1610,1510
1680,1520
1809,1620
1580,1530
1600,1451
1585,1570
1705,1580
1675,1590
1735,1670
1686,1630
1768,1510
1721,1560
1754,1660
1739,1610
1699,1440
1825,1570
1740,1670
1704,1635
1719,1670
1731,1730
1679,1560
1755,1590
1713,1600
1723,1490
1783,1660
1585,1504
1749,1580
1710,1500
1724,1640
1620,1650
1764,1620
1791,1550
1795,1640
1738,1560
1639,1552
1734,1600
1695,1545
1666,1570
1745,1550
1775,1600
1669,1660
1700,1640
1804,1670
1700,1560
1664,1760
1753,1640
1788,1600
1765,1571
1680,1550
1715,1570
1755,1590
1764,1650
1793,1690
1731,1580
1713,1590
1725,1510
1828,1600
1735,1660
1760,1700
1685,1530
1685,1490
1559,1580
1705,1500
1723,1600
1700,1570
1660,1620
1681,1410
1803,1560
1866,1590
1884,1710
1705,1580
1780,1690
1801,1610
1795,1660
1669,1610
1708,1590
1691,1530
1825,1690
1760,1600
1949,1693
1685,1580
1806,1636
1905,1670
1739,1600
1736,1570
1845,1700
1868,1740
1765,1540
1736,1555
1741,1614
1720,1530
1871,1690
1720,1590
1629,1610
1624,1670
1653,1690
1786,1550
1620,1650
1695,1540
1674,1660
1864,1620
1643,1630
1705,1610
1736,1540
1691,1610
1753,1630
1680,1530
1724,1520
1710,1544
1638,1570
1725,1580
1725,1550
1630,1570
1810,1521
1774,1580
1771,1630
1815,1650
1575,1640
1729,1650
1749,1520
1705,1620
1875,1744
1784,1647
1584,1615
1774,1680
1658,1670
1790,1620
1798,1570
1824,1660
1796,1550
1725,1590
1685,1620
1769,1560
1749,1670
1716,1650
1664,1539
1773,1470
1760,1580
1725,1670
1645,1520
1694,1620
1851,1710
1691,1530
1880,1630
1835,1720
1730,1570
1644,1560
1723,1650
1758,1635
1718,1590
1723,1590
1708,1566
1786,1590
1764,1662
1675,1550
1641,1570
1743,1560
1823,1630
1720,1530
